,Cmin,Cmax,Cmin_rna,Cmax_rna,coex,string,Cmin_Nucleus,Cmin_Cytoplasm,Cmin_Mitochondrion,Cmin_Endoplasmic_reticulum,Cmin_Golgi_apparatus,Cmin_Plasma_membrane,Cmin_Vacuole,Cmin_Peroxisome,Cmin_Cytoskeleton,Cmin_Cell_wall,Cmax_Nucleus,Cmax_Cytoplasm,Cmax_Mitochondrion,Cmax_Endoplasmic_reticulum,Cmax_Golgi_apparatus,Cmax_Plasma_membrane,Cmax_Vacuole,Cmax_Peroxisome,Cmax_Cytoskeleton,Cmax_Cell_wall,Kd,int_stoich,fb_pred,Kd_pred,Kd_pred_RF,fb_pred_RF
6759,YLR319C,YNL262W,11.187877759900031,43.348622634100025,0.4840687669642744,0.0,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,5.0,2.251,1.971,0.0,0.0,0.0,0.0,0.0,0.902,0.634,-5.662490851603615,-1.4360800565131746,-1.8814616,-5.756281,-5.652331643225108,-1.511835850647019
6760,YLR319C,YGR138C,11.187877759900031,3.588307135189997,0.5872315368355618,0.0,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,1.293,4.376,1.32,0.956,0.0,5.0,4.318,0.785,0.0,1.727,-5.509317608579157,-1.576946993122093,-1.5445156,-5.8782644,-5.677382555154996,-1.4798450035603696
6761,YLR319C,YFL041W,11.187877759900031,46.0489816145001,0.7428759771017799,0.0,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,1.245,5.0,2.194,4.292,1.307,3.792,5.0,0.0,0.0,1.312,-4.880420354691868,-2.186637651264445,-1.4694217,-5.3622284,-5.075399425461608,-2.029441667932445
6762,YLR319C,YIL121W,11.187877759900031,18.28847144870001,0.1401889203803459,0.0,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,1.464,3.028,1.673,1.443,1.413,5.0,1.972,1.752,0.881,1.593,-4.86733621529357,-2.1981800989511315,-1.7248039,-6.0728683,-5.217532157434514,-1.921286219602456
6763,YLR237W,YLR319C,36.84155072029998,11.187877759900031,0.2775718735644393,0.0,0.88,1.715,1.606,0.737,0.0,5.0,1.214,0.0,0.0,1.098,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,-5.253240799018452,-1.953928435204921,-1.5131736,-5.4738197,-5.417881589693525,-1.8399313309792624
6764,YPL120W,YLR319C,4.943568297810002,11.187877759900031,0.815036789496871,0.0,3.655,5.0,2.719,2.54,4.447,2.41,4.636,2.063,2.254,1.234,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,-5.623128440424612,-1.595298596414577,-1.6820219,-5.5902257,-5.926134924109739,-1.512242075290669
6765,YLR319C,YOR370C,11.187877759900031,60.89428499290006,0.7740149058890555,0.0,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,4.397,5.0,0.778,1.239,1.258,1.142,1.367,0.42,0.675,0.602,-4.766562226202904,-2.299288432428383,-1.8991227,-5.45019,-5.562758724670093,-1.5893428009761634
6766,YBR132C,YLR319C,21.870942358800008,11.187877759900031,0.3647091383119941,0.0,0.901,5.0,1.221,5.0,0.0,5.0,5.0,1.355,0.0,1.142,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,-5.149092752687038,-1.9797542647390085,-2.0004668,-6.124242,-5.437218458098061,-1.6900641294354353
6767,YLR319C,YBR015C,11.187877759900031,127.93095003699976,0.7404280963287522,0.0,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,0.955,5.0,0.749,2.45,5.0,1.512,1.645,0.111,0.759,2.382,-5.288602614529728,-1.799921271870062,-2.2346566,-5.9819384,-5.4842748808014505,-1.6973989209317937
6768,YLR319C,YDR150W,11.187877759900031,77.06571599190006,0.7735846043349559,648.0,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,3.338,5.0,4.386,5.0,0.685,1.825,1.253,1.193,2.387,1.087,-6.455688031172179,-0.8074411870308381,-1.6667191,-5.9364095,-5.992326598429316,-1.2241839893543829
