,Cmin,Cmax,Cmin_rna,Cmax_rna,coex,string,Cmin_Nucleus,Cmin_Cytoplasm,Cmin_Mitochondrion,Cmin_Endoplasmic_reticulum,Cmin_Golgi_apparatus,Cmin_Plasma_membrane,Cmin_Endosome,Cmin_Lysosome,Cmin_Peroxisome,Cmin_Cytoskeleton,Cmin_Extracellular_region,Cmax_Nucleus,Cmax_Cytoplasm,Cmax_Mitochondrion,Cmax_Endoplasmic_reticulum,Cmax_Golgi_apparatus,Cmax_Plasma_membrane,Cmax_Endosome,Cmax_Lysosome,Cmax_Peroxisome,Cmax_Cytoskeleton,Cmax_Extracellular_region,Kd,int_stoich,fb_pred,Kd_pred,corum,Kd_pred_RF,fb_pred_RF
12501,SPTLC1,RAB14,55.27786000000009,40.73514666999998,0.0710416283732467,243.00000000000003,2.396,5.0,2.549,5.0,2.58,2.704,2.034,2.291,1.856,1.766,2.244,2.545,5.0,2.0,4.345,4.443,4.537,5.0,4.443,0.897,1.9,4.348,-4.242379816799155,-2.238398740468895,-2.7404294,-3.940764,0.0,-4.117328104147927,-2.4358803950768664
12502,SCAMP1,RAB14,31.44342567,40.73514666999998,0.0500196484748937,351.0,1.307,5.0,1.051,1.23,5.0,4.333,5.0,1.281,0.0,1.247,1.002,2.545,5.0,2.0,4.345,4.443,4.537,5.0,4.443,0.897,1.9,4.348,-4.033264583101648,-2.414449022724547,-2.4620943,-3.6363175,0.0,-4.046609674972093,-2.4323322412091146
12503,RAB14,VAMP3,40.73514666999998,75.12789667000015,0.1161756024767452,445.0,2.545,5.0,2.0,4.345,4.443,4.537,5.0,4.443,0.897,1.9,4.348,1.938,5.0,1.854,2.012,4.465,4.706,5.0,2.404,1.004,2.052,2.715,-4.576229710049372,-1.5055458882442234,-2.029956,-4.613456,0.0,-4.519946572324424,-1.6807745871763835
12504,RAB14,RAB1A,40.73514666999998,120.23796139999972,0.349742808867289,428.0,2.545,5.0,2.0,4.345,4.443,4.537,5.0,4.443,0.897,1.9,4.348,2.966,4.883,3.046,4.502,4.572,2.217,4.054,2.426,1.405,2.153,4.375,-4.440658226668412,-1.6475968217102266,-2.1484644,-4.1727333,0.0,-4.148364154373276,-1.8677712926465253
12505,SCAMP4,RAB14,65.94171034000041,40.73514666999998,0.1614429368958757,260.0,0.831,3.972,0.0,0.511,4.011,3.507,3.371,0.543,0.0,0.0,0.64,2.545,5.0,2.0,4.345,4.443,4.537,5.0,4.443,0.897,1.9,4.348,-4.838818590679919,-1.7445973775652062,-2.512345,-3.7206624,0.0,-4.604168923177281,-2.059084451053244
12506,RAB14,RAB7A,40.73514666999998,129.07965030000008,0.3914139941390012,539.0,2.545,5.0,2.0,4.345,4.443,4.537,5.0,4.443,0.897,1.9,4.348,2.634,5.0,5.0,2.162,3.435,4.46,5.0,5.0,1.502,2.198,4.409,-3.226235865548353,-2.8298043991881947,-2.234994,-3.8501384,0.0,-3.355671521383654,-2.651710845945668
12507,STX7,RAB14,17.685280329999973,40.73514666999998,0.2522258548950962,453.0,1.627,5.0,1.761,1.937,2.042,5.0,5.0,5.0,1.0,1.63,4.302,2.545,5.0,2.0,4.345,4.443,4.537,5.0,4.443,0.897,1.9,4.348,-3.72522254960589,-2.800042465182901,-2.1426597,-4.3930273,0.0,-3.757388560405656,-2.8252554715572926
12508,RAB14,SEC13,40.73514666999998,155.81736500000002,0.2100895317018298,303.0,2.545,5.0,2.0,4.345,4.443,4.537,5.0,4.443,0.897,1.9,4.348,5.0,5.0,1.614,4.55,2.793,2.03,2.149,5.0,1.343,2.87,4.342,-4.361190811775101,-1.721887308272784,-2.681532,-4.4075317,0.0,-4.125152030348287,-2.094218391289707
12509,RAB18,GDI1,39.989048000000054,157.0823902999999,0.1841247545455923,828.9999999999999,2.64,5.0,2.173,5.0,5.0,4.369,2.259,2.039,1.806,1.818,1.63,1.533,4.741,1.64,4.397,3.774,1.736,1.822,1.487,0.453,1.726,1.632,-3.972562956099088,-2.54801513752924,-1.3666337,-5.1991224,0.0,-4.1426127103692885,-2.528431586863662
12510,RAB18,TMED2,39.989048000000054,157.32753669999997,0.6904639656135518,476.0,2.64,5.0,2.173,5.0,5.0,4.369,2.259,2.039,1.806,1.818,1.63,1.485,5.0,1.6,5.0,5.0,2.047,1.536,1.394,0.542,1.308,2.185,-4.671835987010048,-1.88210931110543,-2.0021946,-4.5715485,0.0,-4.505803479273155,-2.182037028337273
